"concept","color","rating_count","mean","standard_deviation"
"sandstorm","#00CED1",8,"14.88","25.58"
"death","#808000",7,"41.00","42.53"
"sad","#FFC299",8,"12.38","14.63"
"safety","#608000",8,"30.88","31.19"
"lightning","#CC6666",6,"24.83","31.19"
"happy","#000000",5,"4.20","4.27"
"safety","#99FF99",12,"56.83","34.82"
"sandstorm","#008080",10,"7.20","7.22"
"lightning","#66CCCC",11,"37.27","33.95"
"justice","#9966CC",7,"37.43","31.73"
"peace","#DFFF99",7,"42.43","34.85"
"peach","#CC6666",15,"45.73","30.01"
"peace","#99FF99",11,"45.55","33.00"
"peace","#C299FF",13,"50.69","34.24"
"peach","#DC143C",12,"48.50","34.11"
"peace","#FF9999",9,"66.44","26.40"
"peace","#FF4500",11,"28.36","28.23"
"sick","#DFFF99",8,"61.13","23.27"
"angry","#CCCC66",13,"24.54","22.21"
"tree","#9966CC",10,"8.80","11.64"
"banana","#C299FF",12,"11.42","17.09"
"peace","#0000CD",10,"36.80","31.66"
"sandstorm","#99CC66",7,"16.71","13.03"
"sick","#000000",10,"33.20","34.51"
"tree","#6699CC",7,"10.71","10.61"
"peace","#00CED1",17,"54.18","33.57"
"sandstorm","#66CC66",6,"14.17","15.25"
"justice","#66CC66",11,"33.64","29.99"
"justice","#008080",5,"51.20","36.46"
"mango","#DC143C",7,"30.43","31.77"
"death","#008080",7,"21.29","31.63"
"sandstorm","#ADFF2F",5,"22.00","23.04"
"mango","#DFFF99",8,"34.75","33.23"
"justice","#608000",15,"40.27","30.07"
"peace","#66CCCC",6,"61.17","30.52"
"tree","#CCCC66",10,"26.00","26.85"
"sad","#800000",13,"32.54","31.21"
"peach","#804000",9,"32.44","22.69"
"death","#6699CC",8,"23.13","26.59"
"tree","#C299FF",10,"16.60","19.75"
"sick","#ADFF2F",13,"77.92","25.70"
"mango","#CCCC66",7,"41.86","31.12"
"banana","#999999",7,"4.71","7.20"
"justice","#C299FF",10,"22.00","19.94"
"safety","#004080",13,"35.54","34.52"
"tree","#99C2FF",10,"17.80","27.88"
"lightning","#DFFF99",11,"41.55","34.22"
"death","#66CCCC",7,"17.00","24.30"
"happy","#CCCC66",11,"30.45","26.75"
"mango","#C299FF",8,"6.38","10.21"
"lightning","#CCCC66",8,"36.50","34.50"
"happy","#CC9966",7,"11.57","8.30"
"death","#666666",10,"75.80","30.40"
"happy","#FF4500",10,"32.50","30.82"
"tree","#FF4500",9,"30.22","32.09"
"safety","#99CC66",12,"53.42","30.58"
"mango","#004D00",10,"13.40","18.10"
"justice","#333333",6,"18.50","9.63"
"death","#000000",8,"86.50","15.78"
"banana","#66CC66",10,"27.80","31.19"
"angry","#800080",5,"27.20","28.28"
"sick","#CCCC66",11,"67.64","29.14"
"angry","#9966CC",9,"17.33","20.84"
"happy","#99C2FF",6,"40.67","31.99"
