concept,color,rating
sandstorm,#00CED1,0
death,#808000,80
sad,#FFC299,34
safety,#608000,28
lightning,#CC6666,62
happy,#000000,0
safety,#99FF99,100
sandstorm,#008080,13
lightning,#66CCCC,46
justice,#9966CC,87
peace,#DFFF99,100
peach,#CC6666,82
peace,#99FF99,100
peace,#C299FF,86
peach,#DC143C,62
peace,#FF9999,100
peace,#FF4500,24
sick,#DFFF99,61
angry,#CCCC66,30
tree,#9966CC,0
banana,#C299FF,0
peace,#0000CD,20
sandstorm,#99CC66,25
sick,#000000,21
tree,#6699CC,9
peace,#00CED1,86
sandstorm,#66CC66,42
justice,#66CC66,14
justice,#008080,81
mango,#DC143C,66
death,#008080,3
sandstorm,#ADFF2F,61
mango,#DFFF99,62
justice,#608000,5
peace,#66CCCC,77
tree,#CCCC66,60
sad,#800000,90
peach,#804000,25
death,#6699CC,8
tree,#C299FF,8
sick,#ADFF2F,100
mango,#CCCC66,19
banana,#999999,0
sandstorm,#008080,10
justice,#C299FF,70
safety,#004080,68
tree,#99C2FF,1
lightning,#DFFF99,28
death,#66CCCC,5
happy,#CCCC66,0
mango,#C299FF,3
lightning,#CCCC66,4
happy,#CC9966,5
death,#666666,100
happy,#FF4500,0
tree,#FF4500,100
safety,#99CC66,76
mango,#004D00,19
justice,#333333,16
death,#000000,58
banana,#66CC66,11
angry,#800080,16
peace,#C299FF,90
sick,#CCCC66,85
angry,#9966CC,14
happy,#99C2FF,49
safety,#00CED1,36
peace,#99CC66,45
angry,#00CED1,12
peace,#808000,3
sad,#000000,72
peace,#FFC299,72
sandstorm,#808000,42
mango,#66CCCC,0
lightning,#FFFFFF,6
safety,#FFFFFF,34
lightning,#804000,13
justice,#0000CD,75
tree,#FF9999,10
sick,#DC143C,56
angry,#99FFFF,1
happy,#99FF99,37
happy,#99FFFF,59
tree,#800080,8
peace,#333333,8
safety,#800000,3
sad,#FFD700,23
mango,#808000,41
safety,#800080,3
peace,#CC9966,7
tree,#666666,6
safety,#DFFF99,7
justice,#99FFFF,7
peach,#FFFFFF,15
happy,#800080,72
justice,#99FF99,66
sick,#FFD700,66
sick,#ADFF2F,66
peach,#99C2FF,7
lightning,#ADFF2F,11
justice,#DFFF99,8
safety,#999999,7
sandstorm,#FFD700,79
peach,#99CC66,26
sick,#DFFF99,72
lightning,#000000,26
tree,#0000CD,8
banana,#C299FF,7
happy,#228B22,66
sandstorm,#008080,3
sandstorm,#6699CC,1
sad,#00CED1,1
lightning,#99CC66,3
happy,#DFFF99,52
sick,#66CCCC,4
sad,#800000,63
lightning,#800080,5
angry,#ADFF2F,18
banana,#99CC66,0
sad,#66CCCC,75
peace,#66CC66,100
sad,#004080,100
tree,#FF9999,0
justice,#FFD700,10
justice,#0000CD,0
death,#0000CD,0
safety,#99CC66,70
tree,#DC143C,0
tree,#FFD700,31
tree,#004D00,100
angry,#DC143C,100
sick,#800000,71
happy,#800080,78
peach,#00CED1,0
happy,#99FFFF,75
peace,#FF9999,61
mango,#004D00,0
banana,#608000,0
happy,#CCCC66,65
peach,#99FFFF,0
banana,#00CED1,0
safety,#99C2FF,67
mango,#FFD700,100
tree,#228B22,100
banana,#99CC66,27
sandstorm,#99C2FF,0
tree,#608000,73
safety,#004080,74
banana,#66CC66,0
sandstorm,#004D00,0
peace,#FFD700,61
peach,#DFFF99,65
safety,#C299FF,100
sick,#228B22,72
mango,#808000,0
sandstorm,#FF4500,18
sick,#FFFFFF,73
tree,#99FFFF,8
sad,#0000CD,100
safety,#400080,91
death,#FFFF99,7
lightning,#CCCC66,54
tree,#FF9999,14
happy,#6699CC,57
peace,#FF4500,17
happy,#804000,9
sad,#666666,100
happy,#66CC66,67
lightning,#228B22,0
angry,#ADFF2F,0
sick,#ADFF2F,83
lightning,#6699CC,28
justice,#CC9966,0
tree,#66CC66,77
lightning,#CC9966,10
sad,#CCCC66,29
angry,#000000,100
death,#C299FF,3
peach,#004D00,22
death,#6699CC,0
mango,#0000CD,0
happy,#DFFF99,69
peach,#DFFF99,0
sad,#808000,0
justice,#66CCCC,36
peach,#00CED1,0
justice,#808000,0
tree,#66CCCC,0
banana,#66CC66,0
sick,#228B22,89
banana,#FF4500,0
tree,#008080,0
sandstorm,#99C2FF,0
peace,#808000,15
angry,#000000,53
happy,#804000,21
peace,#C299FF,87
mango,#00CED1,4
sandstorm,#99C2FF,33
safety,#FFFFFF,72
happy,#CCCC66,19
lightning,#ADFF2F,0
sick,#66CCCC,78
lightning,#333333,73
justice,#99FFFF,0
happy,#800000,70
peach,#ADFF2F,13
sad,#99CC66,83
sandstorm,#FFC299,82
banana,#808000,43
tree,#99FF99,27
peace,#004D00,64
angry,#008080,0
sick,#400080,59
banana,#800080,0
sandstorm,#666666,63
sandstorm,#400080,0
death,#000000,74
tree,#CC9966,69
death,#804000,2
tree,#FFD700,0
happy,#ADFF2F,0
sick,#804000,63
lightning,#CC9966,0
safety,#CC9966,73
angry,#CCCC66,7
lightning,#66CC66,42
death,#99FFFF,1
peace,#CC9966,63
mango,#800080,55
sandstorm,#400080,10
peach,#804000,61
lightning,#FF4500,70
justice,#00CED1,76
sad,#008080,83
tree,#800000,57
peace,#99CC66,91
sad,#FF4500,13
lightning,#FFFF99,99
angry,#FF4500,89
sandstorm,#CC6666,81
sandstorm,#CC9966,95
mango,#400080,32
sick,#FF4500,35
justice,#804000,69
justice,#0000CD,63
death,#FFFF99,4
lightning,#400080,13
peach,#608000,66
peace,#FF4500,58
mango,#000000,9
peace,#99FFFF,85
happy,#800080,64
happy,#66CC66,93
peace,#CCCC66,65
lightning,#C299FF,63
sad,#DFFF99,9
peach,#FFD700,85
justice,#66CCCC,95
mango,#ADFF2F,87
justice,#CC6666,75
sick,#666666,81
tree,#808000,98
happy,#004D00,89
sick,#608000,50
peach,#CC6666,50
peach,#FF4500,50
death,#800000,50
safety,#004080,50
sad,#6699CC,50
lightning,#FFFFFF,50
safety,#99FF99,50
sick,#C299FF,50
justice,#6699CC,50
peace,#ADFF2F,50
sick,#CC9966,50
mango,#CC9966,50
safety,#228B22,75
sick,#FF4500,15
angry,#999999,89
happy,#DC143C,50
happy,#CC6666,50
safety,#C299FF,50
justice,#0000CD,50
peace,#99FF99,50
sick,#800000,50
banana,#FFFFFF,50
angry,#000000,50
death,#CC6666,50
death,#9966CC,50
sad,#000000,50
mango,#99FF99,69
safety,#CC6666,10
angry,#00CED1,10
angry,#FFD700,0
death,#228B22,0
banana,#ADFF2F,82
safety,#99CC66,100
happy,#66CCCC,100
death,#333333,100
peace,#004D00,44
angry,#004080,0
lightning,#66CC66,0
sick,#FFD700,78
sandstorm,#FF4500,31
peace,#228B22,21
sandstorm,#800080,7
lightning,#DFFF99,0
happy,#66CC66,81
peach,#6699CC,0
happy,#CC6666,0
death,#228B22,19
peach,#CC6666,14
banana,#66CC66,18
lightning,#66CCCC,92
safety,#800080,6
death,#333333,100
sick,#66CCCC,26
happy,#99FF99,100
mango,#004080,0
death,#FF4500,0
happy,#9966CC,0
safety,#DC143C,0
death,#FFFFFF,0
peace,#FF4500,0
angry,#C299FF,0
justice,#99FFFF,78
justice,#008080,73
peach,#C299FF,0
tree,#008080,0
lightning,#666666,0
angry,#608000,0
happy,#C299FF,73
sandstorm,#CCCC66,100
sick,#ADFF2F,100
peach,#9966CC,0
justice,#004D00,64
safety,#9966CC,0
sandstorm,#99C2FF,0
happy,#333333,0
lightning,#99C2FF,86
banana,#FFD700,100
safety,#99FF99,100
lightning,#228B22,0
peace,#C299FF,0
safety,#004080,100
peach,#FFD700,100
lightning,#333333,0
sad,#DC143C,0
lightning,#CC6666,66
peach,#608000,0
sandstorm,#9966CC,0
banana,#ADFF2F,87
mango,#800080,35
safety,#99FF99,100
mango,#804000,0
peace,#66CC66,100
banana,#999999,0
peach,#C299FF,0
justice,#ADFF2F,66
sandstorm,#333333,68
angry,#CCCC66,0
death,#66CC66,0
death,#333333,100
death,#99CC66,0
peach,#DC143C,13
peach,#FFFF99,81
tree,#004080,5
peach,#ADFF2F,26
peach,#400080,15
sick,#66CC66,77
death,#FFFF99,0
safety,#99C2FF,75
mango,#0000CD,0
death,#CC9966,10
peace,#CC9966,12
tree,#CC9966,97
banana,#CC9966,73
peace,#99C2FF,72
peace,#ADFF2F,79
justice,#608000,78
sick,#999999,12
sick,#FF9999,2
lightning,#0000CD,17
justice,#C299FF,10
death,#FF4500,100
tree,#228B22,100
angry,#FFFF99,0
angry,#333333,100
sick,#00CED1,14
lightning,#DFFF99,8
mango,#CCCC66,68
sick,#004080,14
sick,#FFFFFF,0
peach,#800080,3
banana,#004080,6
death,#804000,70
safety,#99FFFF,95
peace,#00CED1,95
banana,#400080,0
angry,#FF9999,0
death,#CC6666,78
angry,#6699CC,4
sandstorm,#99FFFF,4
mango,#66CC66,3
banana,#CCCC66,100
safety,#66CC66,100
sad,#FFFFFF,2
angry,#999999,14
lightning,#C299FF,32
sad,#99FF99,12
sad,#000000,6
sandstorm,#FFC299,26
angry,#DFFF99,6
justice,#FF9999,11
sad,#999999,5
death,#FFC299,9
mango,#0000CD,0
banana,#800000,11
peach,#ADFF2F,7
banana,#9966CC,0
lightning,#99CC66,0
peach,#6699CC,0
justice,#99FF99,0
sick,#CCCC66,91
sandstorm,#CC9966,66
happy,#400080,0
angry,#99FF99,1
happy,#9966CC,0
safety,#ADFF2F,0
sad,#800000,26
peach,#DC143C,0
tree,#99C2FF,0
angry,#FFFF99,0
angry,#DC143C,86
peach,#CC9966,9
safety,#808000,4
sick,#333333,0
safety,#FFC299,22
mango,#800000,4
angry,#666666,2
sandstorm,#004080,7
tree,#DC143C,0
justice,#804000,5
banana,#C299FF,0
happy,#333333,3
happy,#CC6666,8
mango,#CC9966,1
mango,#333333,9
lightning,#008080,35
peace,#800080,0
peach,#004D00,0
sick,#00CED1,17
happy,#FF4500,0
peach,#C299FF,17
sad,#FF4500,27
death,#400080,64
peace,#000000,0
peach,#00CED1,0
angry,#99C2FF,7
justice,#6699CC,0
safety,#CCCC66,0
happy,#0000CD,3
justice,#004080,0
tree,#FF9999,0
mango,#C299FF,0
peace,#FFC299,0
sick,#99FFFF,32
lightning,#6699CC,73
lightning,#DC143C,0
death,#000000,81
banana,#008080,1
tree,#9966CC,2
sick,#CC6666,8
sandstorm,#400080,8
peach,#008080,5
death,#CC9966,50
safety,#99FFFF,0
lightning,#FF9999,0
peace,#008080,0
happy,#608000,0
peace,#FF4500,0
happy,#000000,0
happy,#DC143C,1
lightning,#CC6666,0
sandstorm,#333333,2
happy,#800080,0
